"Your query : (ALL(""astrophysics"" OR ""astronomy""))",
Number of results : 1022652,
Year,Papers
2022,48384
2021,54907
2020,53219
2019,51283
2018,51403
2017,48406
2016,46620
2015,44842
2014,43339
2013,40350
2012,41699
2011,37677
2010,35578
2009,33950
2008,32166
2007,29474
2006,30452
2005,27190
2004,21593
2003,20339
2002,21238
2001,18554
2000,17580
1999,15476
1998,15980
1997,14602
1996,12850
1995,9214
1994,9213
1993,7994
1992,7258
1991,7039
1990,6665
1989,4806
1988,4634
1987,4071
1986,4378
1985,3861
1984,3968
1983,3379
1982,3222
1981,2982
1980,2783
1979,2746
1978,2508
1977,2538
1976,2365
1975,2411
1974,2174
1973,1946
1972,1890
1971,1744
1970,1733
1969,1152
1968,927
1967,625
1966,546
1965,441
1964,343
1963,250
1962,185
1961,135
1960,132
1959,74
1958,84
1957,50
1956,152
1955,122
1954,31
1953,36
1952,42
1951,43
1950,43
1949,18
1948,26
1947,21
1946,16
1945,6
1944,11
1943,7
1942,8
1941,12
1940,7
1939,12
1938,16
1937,7
1936,9
1935,13
1934,10
1933,7
1932,5
1931,6
1930,3
1929,10
1928,5
1927,4
1926,9
1925,6
1924,1
1923,9
1922,4
1921,6
1920,6
1919,7
1918,2
1917,4
1916,1
1915,9
1914,4
1913,2
1912,6
1911,10
1910,6
1909,8
1908,10
1907,3
1906,4
1905,6
1904,2
1903,10
1902,9
1901,7
1900,9
1899,11
1898,6
1897,10
1896,5
1895,8
1894,7
1893,16
1892,13
1891,8
1890,4
1889,6
1888,1
1887,4
1886,10
1885,2
1884,2
1883,3
1882,2
1881,12
1880,8
1877,2
1875,4
1874,1
1873,1
1872,1
1871,1
1870,1
1869,2
1867,3
1862,7
1857,1
1853,1
1848,1
1837,1
1834,1
1826,1