"Your query : (ALL(""Earth science""))",
Number of results : 936963,
Year,Papers
2022,97279
2021,95869
2020,81807
2019,70609
2018,61865
2017,53574
2016,49287
2015,44492
2014,38933
2013,36135
2012,30276
2011,28021
2010,23552
2009,21188
2008,19594
2007,17656
2006,16266
2005,14782
2004,12783
2003,11395
2002,10119
2001,9551
2000,9066
1999,8428
1998,7510
1997,6952
1996,7363
1995,4122
1994,4301
1993,3855
1992,3701
1991,3325
1990,3503
1989,3296
1988,3028
1987,2659
1986,2523
1985,2034
1984,2245
1983,2108
1982,1737
1981,1510
1980,1435
1979,1107
1978,893
1977,889
1976,720
1975,805
1974,577
1973,493
1972,403
1971,384
1970,356
1969,90
1968,156
1967,76
1966,73
1965,29
1964,35
1963,24
1962,20
1961,13
1960,9
1959,11
1958,5
1957,4
1956,6
1955,6
1954,5
1953,3
1952,3
1951,1
1950,3
1949,1
1947,2
1941,1
1940,5
1938,1
1937,2
1936,1
1935,2
1934,1
1933,1
1932,2
1931,4
1926,2
1925,1
1920,1
1916,1
1902,1
1901,1