"Your query : (ALL(""heliophysics"" OR ""space physics"" OR ""solar physics"" OR ""space weather""))",
Number of results : 158275,
Year,Papers
2022,7480
2021,8889
2020,7954
2019,7754
2018,7421
2017,7106
2016,6737
2015,6861
2014,6151
2013,6651
2012,6114
2011,5756
2010,5419
2009,5416
2008,4938
2007,4590
2006,5076
2005,4889
2004,3873
2003,3651
2002,3939
2001,2987
2000,2958
1999,2665
1998,2588
1997,2439
1996,1662
1995,1039
1994,1154
1993,920
1992,869
1991,919
1990,896
1989,527
1988,577
1987,508
1986,605
1985,573
1984,581
1983,623
1982,610
1981,471
1980,401
1979,408
1978,373
1977,431
1976,421
1975,442
1974,476
1973,477
1972,438
1971,454
1970,359
1969,298
1968,174
1967,116
1966,22
1965,17
1964,8
1963,10
1962,5
1961,3
1960,2
1958,1
1956,2
1955,3
1954,1
1953,2
1952,4
1951,1
1949,1
1948,1
1947,3
1946,3
1944,1
1942,1
1940,1
1938,1
1937,3
1936,1
1935,7
1934,4
1932,3
1931,1
1930,1
1927,1
1926,1
1924,2
1923,1
1922,1
1919,1
1918,1
1917,1
1916,1
1915,1
1914,1
1913,1
1912,1
1911,5
1910,2
1909,2
1905,3
1904,1
1903,4
1902,2
1899,1
1896,1
1891,1
1886,1
1883,2
1882,1
1881,12
1880,1
1879,1
1877,2
1876,1
1874,1