"Your query : (ALL((( ""planetary science"" OR ""planetary geology"" OR ""planetary atmospheres"" OR ""planetary space environments"" ) AND (""machine learning"" OR ""artificial intelligence""))))",
Number of results : 16320,
Year,Papers
2024,3773
2023,3005
2022,2445
2021,1833
2020,1235
2019,866
2018,597
2017,387
2016,359
2015,284
2014,253
2013,233
2012,217
2011,124
2010,139
2009,100
2008,91
2007,87
2006,61
2005,38
2004,43
2003,33
2002,33
2001,19
2000,8
1999,12
1998,16
1997,5
1996,6
1995,2
1993,2
1992,1
1991,1
1989,1
1988,2
1985,2
1984,1
1983,2
1978,1
1972,2
1970,1