"Your query : (ALL(( ( ""Earth science"" OR ""geology"" OR ""geography"" OR ""atmospheric science"" OR ""oceanic science"" ) AND (""machine learning"" OR ""artificial intelligence""))))",
Number of results : 229022,
Year,Papers
2024,49188
2023,40039
2022,33026
2021,24827
2020,17814
2019,12877
2018,9116
2017,6983
2016,5623
2015,4788
2014,3901
2013,3422
2012,2973
2011,2510
2010,2278
2009,1910
2008,1560
2007,1161
2006,1019
2005,828
2004,630
2003,477
2002,334
2001,256
2000,200
1999,178
1998,127
1997,162
1996,119
1995,88
1994,75
1993,76
1992,71
1991,58
1990,52
1989,42
1988,51
1987,30
1986,48
1985,19
1984,18
1983,10
1982,6
1981,7
1980,7
1979,1
1978,6
1977,4
1976,9
1975,6
1974,3
1973,1
1972,4
1971,2
1970,2